Zfin olfactory system,Daniocell OE,Daniocell olfactory (not OE)
ndst3,,
necab1,,
nectin1b,,
nefla,,
neflb,,
nell2a,,
nell2b,,
nes,,
neurod1,,
neurod4,,
neurod6b,,
neurog1,,
nfatc1,,
nfe2l2a,,
nfkbiaa,,
nfkbib,,
ngfb,,
nlgn2a,,
nlgn2b,,
nlgn3a,,
nlgn3b,,
nme5,,
nolc1,,
nos2a,,
notch1a,,
npffr1l1,,
npffr1l2,,
npffr1l3,,
nptna,,
nptnb,,
nptx2a,,
npvf,,
nr1d2a,,
nr2e1,,
nr4a1,,
nrp1a,,
nrp1b,,
nrp2a,,
nrp2b,,
nrsn1,,
nsfa,,
nsmfb,,
nt5e,,
ntn1b,,
nudt9,,
nxnl2,,
oclna,,
oclnb,,
odad1,,
odad3,,
ogg1,,
olfcd2,,
olfcd3,,
olfcg1,,
olfcj1,,
olfcn1,,
olfcq1,,
olfct1,,
olfcu1,,
olfm1a,,
olfm1b,,
ompa,,
ompb,,
opcml,,
oprd1b,,
oprk1,,
or6at1,,
or30bt1,,
or30bt2,,
or30bt3,,
or30bx1,,
or40a1,,
or42c1,,
or42c2,,
or42c3,,
or42c4,,
or42c5,,
or42d1,,
or42e1,,
or42e3,,
or55a1,,
or55a2,,
or55d1,,
or55e1,,
or61c2,,
or62a2,,
or62c5,,
or64b2,,
or70a4,,
or70b1,,
or71al2,,
or71at1,,
or80a6,,
or90d3,,
or91a3,,
or93a1,,
or109-6,,
or114-2,,
ora1,,
ora2,,
ora3.1,,
ora3.2,,
ora4,,
ora5,,
ora6,,
osbpl2b,,
otx1,,
otx2a,,
otx2b,,
ovol1a,,
oxr1a,,
oxr1b,,
pacsin3,,
padi2,,
pafah1b1a,,
pafah1b1b,,
pank1b,,
panx1a,,
panx1b,,
paqr5a,,
paqr5b,,
pard3ba,,
pawr,,
pax2a,,
pax6a,,
pcdh7b,,
pcdh17,,
pcdh19,,
pcgf6,,
pcna,,
pcnt,,
pdcd6ip,,
pdcl,,
pde6d,,
pde10a,,
pdia8,,
per2,,
perp,,
pgd,,
pgk1,,
pgr,,
phlda2,,
pik3c2a,,
pik3r3b,,
pin1,,
pir,,
pitx3,,
pkd2,,
pkma,,
pkp1b,,
plcb3,,
plpp7a,,
plppr2a,,
plxnb2b,,
pnp6,,
ppargc1a,,
ppl,,
ppp1r14ba,,
ppp1r15b,,
ppp3ca,,
ppp3cb,,
ppp3r1a,,
ppp3r1b,,
prdm5,,
prdm8b,,
prdm12a,,
prdm13,,
prdm14,,
prdm16,,
prdx1,,
prdx5,,
prl2,,
prok2,,
prom1a,,
prss60.2,,
psap,,
ptmaa,,
ptmab,,
ptp4a3a,,
ptprdb,,
ptprn2l,,
ptprsa,,
pvalb5,,
pvalb8,,
pvrl2l,,
pxylp1,,
pycard,,
pyya,,
quo,,
r3hdm1,,
rab2a,,
rab3ip,,
rab6bb,,
rab11al,,
rab11ba,,
rab14,,
rab40b,,
rag1,,
ranbp9,,
rassf7b,,
rbfox1,,
reep5,,
rer1,,
RFP,,
rfx2,,
rhbdl2,,
ribc2,,
ripk4,,
rln1,,
rltgr,,
rnf114,,
rnf128a,,
rnf185,,
robo2,,
robo3,,
rorca,,
rp2,,
rprma,,
rprmb,,
rsph9,,
rtbdn,,
rtca,,
rtn1a,,
rtn3,,
rtn4a,,
rtn4b,,
rtn4rl1b,,
runx1,,
ruvbl1,,
s1pr2,,
s100a1,,
s100a10a,,
s100a11,,
s100b,,
s100s,,
s100t,,
s100z,,
satb2,,
sb:cb11,,
sb:cb113,,
sb:cb122,,
sb:cb234,,
sb:cb247,,
sb:cb258,,
sb:cb338,,
sb:cb492,,
sb:cb743,,
sb:cb829,,
sb:cb878,,
sb:cb887,,
sb:cb951,,
sb:cb1018,,
sb:cb1042,,
sb:cb1050,,
sb:eu956,,
scg3,,
scg5,,
scinla,,
scml4,,
scn1ba,,
scn1bb,,
scn1laa,,
scube1,,
selenot1a,,
selenow1,,
selenow2b,,
sema3d,,
sema4c,,
sema6a,,
septin3,,
septin5a,,
septin5b,,
septin6,,
septin15,,
serinc2,,
serpine2,,
sfrp1a,,
sgsm3,,
sh3bgr,,
sh3bgrl,,
sh3bgrl2,,
sh3bgrl3,,
sh3gl1a,,
shox,,
si:ch211-153b23.5,,
si:ch211-170d8.2,,
si:dkey-56m19.5,,
si:dkey-172h23.2,,
si:dkey-222f8.3,,
si:dkey-239d21.1,,
six1b,,
six3b,,
six4b,,
slc1a2b,,
slc2a3a,,
slc3a2b,,
slc4a2b,,
slc6a3,,
slc12a7b,,
slc16a3b,,
slc17a6a,,
slc17a6b,,
slc25a51a,,
