source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0016460,myosin II complex,0.0180279379188699,True,"""A myosin complex containing two class II myosin heavy chains, two myosin essential light chains and two myosin regulatory light chains. Also known as classical myosin or conventional myosin, the myosin II class includes the major muscle myosin of vertebrate and invertebrate muscle, and is characterized by alpha-helical coiled coil tails that self assemble to form a variety of filament structures."" [Wikipedia:Myosin]",9,11,1,12235,0.0909090909090909,0.1111111111111111,query_1,['GO:0016459']
GO:MF,GO:0016787,hydrolase activity,0.0189832661459927,True,"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."" [ISBN:0198506732]",2494,17,6,21077,0.3529411764705882,0.0024057738572574,query_1,['GO:0003824']
GO:MF,GO:0005198,structural molecule activity,0.0196039573893289,True,"""The action of a molecule that contributes to the structural integrity of a complex."" [GOC:mah, GOC:vw]",1783,17,5,21077,0.2941176470588235,0.002804262478968,query_1,['GO:0003674']
GO:CC,GO:0005737,cytoplasm,0.024428156118103,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",2445,11,6,12235,0.5454545454545454,0.0024539877300613,query_1,"['GO:0005622', 'GO:0110165']"
GO:MF,GO:0043022,ribosome binding,0.0258748119542478,True,"""Binding to a ribosome."" [GOC:go_curators]",19,17,1,21077,0.0588235294117647,0.0526315789473684,query_1,['GO:0043021']
GO:BP,GO:0006414,translational elongation,0.0275132336525116,True,"""The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."" [GOC:ems]",33,12,2,14996,0.1666666666666666,0.0606060606060606,query_1,"['GO:0006412', 'GO:0009059']"
GO:MF,GO:0043021,ribonucleoprotein complex binding,0.0291963573080522,True,"""Binding to a complex of RNA and protein."" [GOC:bf, GOC:go_curators, GOC:vk]",22,17,1,21077,0.0588235294117647,0.0454545454545454,query_1,['GO:0044877']
GO:MF,GO:0003824,catalytic activity,0.033584246026711,True,"""Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."" [GOC:vw, ISBN:0198506732]",6763,17,10,21077,0.5882352941176471,0.001478633742422,query_1,['GO:0003674']
GO:MF,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",0.0341006421605166,True,"""Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces NAD or NADP."" [GOC:jl]",27,17,1,21077,0.0588235294117647,0.037037037037037,query_1,['GO:0016903']
GO:CC,GO:0022626,cytosolic ribosome,0.034617043424396,True,"""A ribosome located in the cytosol."" [GOC:mtg_sensu]",21,11,1,12235,0.0909090909090909,0.0476190476190476,query_1,"['GO:0005829', 'GO:0005840']"
GO:CC,GO:0015935,small ribosomal subunit,0.034617043424396,True,"""The smaller of the two subunits of a ribosome."" [GOC:mah]",20,11,1,12235,0.0909090909090909,0.05,query_1,['GO:0044391']
GO:CC,GO:0043229,intracellular organelle,0.034617043424396,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",5696,11,9,12235,0.8181818181818182,0.0015800561797752,query_1,"['GO:0005622', 'GO:0043226']"
GO:CC,GO:0043226,organelle,0.035818011302026,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",5757,11,9,12235,0.8181818181818182,0.0015633142261594,query_1,['GO:0110165']
GO:MF,GO:0016684,"oxidoreductase activity, acting on peroxide as acceptor",0.0373558509836193,True,"""Catalysis of an oxidation-reduction (redox) reaction in which the peroxide group acts as a hydrogen or electron acceptor."" [EC:1.11.-.-]",31,17,1,21077,0.0588235294117647,0.032258064516129,query_1,['GO:0016491']
GO:MF,GO:0004601,peroxidase activity,0.0373558509836193,True,"""Catalysis of the reaction: a reduced substrate + ROOH = an oxidized substrate + ROH + H2O."" [PMID:33992367]",31,17,1,21077,0.0588235294117647,0.032258064516129,query_1,"['GO:0016209', 'GO:0016684']"
GO:MF,GO:0050661,NADP binding,0.040034771936361,True,"""Binding to nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH."" [GOC:ai]",34,17,1,21077,0.0588235294117647,0.0294117647058823,query_1,['GO:0030554']
GO:MF,GO:0016887,ATP hydrolysis activity,0.0402663924584219,True,"""Catalysis of the reaction: ATP + H2O = ADP + H+ phosphate. ATP hydrolysis is used in some reactions as an energy source, for example to catalyze a reaction or drive transport against a concentration gradient."" [RHEA:13065]",326,17,2,21077,0.1176470588235294,0.0061349693251533,query_1,"['GO:0017111', 'GO:0140657']"
GO:BP,GO:0006412,translation,0.0411085673198972,True,"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",354,12,3,14996,0.25,0.0084745762711864,query_1,"['GO:0009059', 'GO:0019538', 'GO:0160307']"
GO:BP,GO:0007017,microtubule-based process,0.0411085673198972,True,"""Any cellular process that depends upon or alters the microtubule cytoskeleton, that part of the cytoskeleton comprising microtubules and their associated proteins."" [GOC:mah]",303,12,3,14996,0.25,0.0099009900990099,query_1,['GO:0009987']
GO:BP,GO:0042744,hydrogen peroxide catabolic process,0.0411085673198972,True,"""The chemical reactions and pathways resulting in the breakdown of hydrogen peroxide (H2O2)."" [GOC:jl]",4,12,1,14996,0.0833333333333333,0.25,query_1,"['GO:0009056', 'GO:0042743']"
GO:BP,GO:0042743,hydrogen peroxide metabolic process,0.0411085673198972,True,"""The chemical reactions and pathways involving hydrogen peroxide (H2O2), a potentially harmful byproduct of aerobic cellular respiration which can cause damage to DNA."" [GOC:jl, PMID:21734470]",4,12,1,14996,0.0833333333333333,0.25,query_1,['GO:0072593']
GO:BP,GO:0160307,protein biosynthetic process,0.0411085673198972,True,"""The chemical reactions and pathways resulting in the formation of protein."" [Wikipedia:Protein_biosynthesis]",354,12,3,14996,0.25,0.0084745762711864,query_1,"['GO:0009059', 'GO:0010467', 'GO:0019538']"
GO:BP,GO:0006457,protein folding,0.0411085673198972,True,"""The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."" [GOC:go_curators, GOC:rb]",95,12,2,14996,0.1666666666666666,0.0210526315789473,query_1,"['GO:0009987', 'GO:0051604']"
GO:MF,GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",0.0439256290905104,True,"""Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor."" [GOC:ai]",39,17,1,21077,0.0588235294117647,0.0256410256410256,query_1,['GO:0016491']
GO:MF,GO:0005488,binding,0.0441698523408556,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",13670,17,15,21077,0.8823529411764706,0.001097293343087,query_1,['GO:0003674']
GO:MF,GO:0016209,antioxidant activity,0.0474849552812816,True,"""Inhibition of the reactions brought about by dioxygen (O2) or peroxides. Usually the antioxidant is effective because it can itself be more easily oxidized than the substance protected. The term is often applied to components that can trap free radicals, thereby breaking the chain reaction that normally leads to extensive biological damage."" [ISBN:0198506732]",44,17,1,21077,0.0588235294117647,0.0227272727272727,query_1,['GO:0003674']
GO:CC,GO:0032991,protein-containing complex,0.0497539404539151,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",2976,11,6,12235,0.5454545454545454,0.002016129032258,query_1,['GO:0005575']
