source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0005882,intermediate filament,0.0002359989030639,True,"""A cytoskeletal structure that forms a distinct elongated structure, characteristically 10 nm in diameter, that occurs in the cytoplasm of eukaryotic cells. Intermediate filaments form a fibrous system, composed of chemically heterogeneous subunits and involved in mechanically integrating the various components of the cytoplasmic space. Intermediate filaments may be divided into five chemically distinct classes: Type I, acidic keratins; Type II, basic keratins; Type III, including desmin, vimentin and others; Type IV, neurofilaments and related filaments; and Type V, lamins."" [ISBN:0198506732, PMID:17493611, PMID:17551517, PMID:7979242]",43,56,4,12235,0.0714285714285714,0.0930232558139534,query_1,"['GO:0045111', 'GO:0099513']"
GO:CC,GO:0031967,organelle envelope,0.0002359989030639,True,"""A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."" [GOC:mah, GOC:pz]",209,56,7,12235,0.125,0.0334928229665071,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']"
GO:CC,GO:0045111,intermediate filament cytoskeleton,0.0002359989030639,True,"""Cytoskeletal structure made from intermediate filaments, typically organized in the cytosol as an extended system that stretches from the nuclear envelope to the plasma membrane. Some intermediate filaments run parallel to the cell surface, while others traverse the cytosol; together they form an internal framework that helps support the shape and resilience of the cell."" [ISBN:0716731363]",43,56,4,12235,0.0714285714285714,0.0930232558139534,query_1,['GO:0005856']
GO:CC,GO:0031966,mitochondrial membrane,0.0002572900696461,True,"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]",145,56,6,12235,0.1071428571428571,0.0413793103448275,query_1,"['GO:0005740', 'GO:0031090']"
GO:MF,GO:0015075,monoatomic ion transmembrane transporter activity,0.0002774491509607,True,"""Enables the transfer of an ion from one side of a membrane to the other."" [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]",743,76,11,21077,0.1447368421052631,0.0148048452220726,query_1,['GO:0022857']
GO:CC,GO:0005740,mitochondrial envelope,0.0005968547358244,True,"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]",170,56,6,12235,0.1071428571428571,0.0352941176470588,query_1,"['GO:0005739', 'GO:0031967']"
GO:MF,GO:0017075,syntaxin-1 binding,0.0007476565535521,True,"""Binding to a syntaxin-1 SNAP receptor."" [GOC:ai]",6,76,2,21077,0.0263157894736842,0.3333333333333333,query_1,['GO:0019905']
GO:MF,GO:0005215,transporter activity,0.0008456593318746,True,"""Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, accross or in between cells."" [GOC:ai, GOC:dgf]",1312,76,14,21077,0.1842105263157894,0.010670731707317,query_1,['GO:0003674']
GO:MF,GO:0015217,ADP transmembrane transporter activity,0.0009678613858122,True,"""Enables the transfer of ADP, adenosine diphosphate, from one side of a membrane to the other."" [GOC:ai]",7,76,2,21077,0.0263157894736842,0.2857142857142857,query_1,"['GO:0000295', 'GO:0005346']"
GO:MF,GO:0005471,ATP:ADP antiporter activity,0.0009678613858122,True,"""Catalysis of the reaction: ATP(out) + ADP(in) = ATP(in) + ADP(out)."" [TC:2.A.29.1.1]",7,76,2,21077,0.0263157894736842,0.2857142857142857,query_1,"['GO:0005347', 'GO:0015217', 'GO:0015297']"
