Gene,Cluster
si:ch211-197g15.1,9
si:ch211-199o1.2,39
si:ch211-212n6.17,25
si:ch211-215a10.5,14
si:ch211-243g18.2,22
si:ch211-250g4.3,32
si:ch211-251b21.1,39
si:ch211-251p5.5,6
si:ch211-266o15.1,2
si:ch211-276i12.9,12
si:ch211-288g17.3,39
si:ch211-48m9.1,3
si:ch211-55g3.6,27
si:ch211-59d13.2,19
si:ch73-103b2.3,28
si:ch73-167i17.6,2
si:ch73-1a9.3,19
si:ch73-281n10.2,21
si:ch73-368j24.12,22
si:ch73-36p18.1,36
si:dkey-108k21.21,36
si:dkey-113g17.2,24
si:dkey-156n14.5,50
si:dkey-16k6.1,18
si:dkey-183i3.5,22
si:dkey-1f1.2,30
si:dkey-201c1.2,44
si:dkey-216e9.5,38
si:dkey-222f2.1,36
si:dkey-222h21.5,2
si:dkey-23a13.9,22
si:dkey-250d21.1,6
si:dkey-251i10.1,5
si:dkey-261m9.12,36
si:dkey-28b4.8,11
si:dkey-32e23.4,2
si:dkey-37o8.1,30
si:dkey-46a12.1,2
si:dkey-4c23.1,18
si:dkey-57m14.1,9
si:dkeyp-113d7.5,22
si:dkeyp-113d7.7,48
si:dkeyp-117b8.3,24
si:dkeyp-77h1.4,8
si:rp71-10d23.3,37
si:rp71-45k5.4,23
si:zc14a17.13,2
silverb,16
skic8,25
skp1a,2
slc12a2,44
slc1a2a,9
slc1a2b,15
slc4a10a,9
slc4a10b,23
slc4a4a,25
slc4a5,25
slc6a11b,10
slc8a2b,7
slc8a4a,44
slmapb,6
sltm,6
smarca4,50
smarca5,17
smarcc1a,3
smarcc2,3
smpd4,2
smu1,9
smyhc1,42
smyhc2,42
snap23.1,35
snap25a,19
snap25b,19
snap29,25
snd1,13
snrpc,2
snrpfl,21
snrpg,27
spna2,23
sptbn1,14
sr:nyz104,33
sr:nyz175,13
srgap2,8
sri,3
srp54,2
srsf10a,13
srsf1a,39
srsf1b,39
srsf6a,39
ssbp1,30
ssbp4,23
ssrp1a,37
stom,8
stra6,25
strn3,2
stt3b,9
stx16,28
stxbp1a,30
sub1,2
sumo3,27
supt5h,2
supt6h,9
sv2a,2
sv2bb,25
syn2a,15
syne1b,8
syne2b,41
synj1,25
synrg,28
syp,43
syt1,43
syt2a,33
syt5,49
syt5b,17
tanc2a,25
tardbp,27
tardbpl,27
tfa,44
tfap2b,2
tgm1l3,8
tho4,33
thsd7aa,6
timm10,25
timm13,48
timm8a,1
timm8b,27
timm9,25
tjp1a,23
tkta,27
tle2,10
tle3a,37
tmp4,34
tnikb,6
tnnc,13
tnni2b.1,13
tnnt2e,2
tnnt3b,13
tnr,13
tomm5,7
tomm6,49
top2b,12
tpd52l2a,4
tpi1a,25
tpi1b,27
tpm2,34
tpm3,34
tpm4a,34
tpma,34
tpt1,15
trip12,25
trp2,25
trrap,15
ttn.1,10
ttn.2,14
tuba1,4
tuba7l,4
tuba8l,4
tuba8l3a,4
tubb2a,31
tubb2b,31
tubb2c,31
tubb6,19
txnrd1,35
u2af2a,38
u2af2b,38
ubap1,9
ube2l3,31
ube2l3b,31
ubl5,2
ubtf,13
unm_tf212,25
uqcc2,29
uqcrc2,17
uqcrc2a,44
usf2,2
usp10,2
utp15,2
vamp1a,10
vapa,23
vars1,29
vat1,8
vatB1,39
vcp,24
vdac3,30
vdrb,2
vps35l,6
vps37c,10
vrk1,8
vtg1,18
vtg2,18
wdr37,44
wdr7,6
wu:fa01a08,4
wu:fa03a08,22
wu:fa12a02,19
wu:fa12h07,27
wu:fa14g03,3
wu:fa18f12,13
wu:fa20d10,30
wu:fa20e05,23
wu:fa27c04,32
wu:fa28b06,38
wu:fa55g05,41
wu:fa91c06,50
wu:fa91c09,42
wu:fa91c11,36
wu:fa91f03,25
wu:fa92b05,27
wu:fa92e06,16
wu:fa93f04,47
wu:fa93g12,25
wu:fa93h05,39
wu:fa95e06,27
wu:fa97a07,22
wu:fa97f08,44
wu:fb02e10,44
wu:fb08h08,9
wu:fb10b03,7
wu:fb12d01,5
wu:fb13c01,2
wu:fb13c12,23
wu:fb13d09,34
wu:fb13h02,11
wu:fb13h07,25
wu:fb14d09,11
wu:fb17e01,44
wu:fb18b07,23
wu:fb22e01,27
wu:fb24b05,2
wu:fb33h05,48
wu:fb34a06,25
wu:fb36d11,2
wu:fb39a11,7
wu:fb40a03,13
wu:fb53f05,21
wu:fb58f07,36
wu:fb59a06,24
wu:fb61d08,34
wu:fb64b04,47
wu:fb64c10,15
wu:fb66d03,1
wu:fb75h08,1
wu:fb96g03,25
wu:fb98f01,2
wu:fc06h04,23
wu:fc11d03,21
wu:fc17a11,2
wu:fc19f05,38
wu:fc20c11,37
wu:fc21e02,37
wu:fc21f08,2
wu:fc21g02,44
wu:fc27f12,47
wu:fc30g11,2
wu:fc33b02,6
wu:fc38g05,29
wu:fc39d01,8
wu:fc51f06,37
wu:fc55h08,2
wu:fc58a11,17
wu:fc66a10,44
wu:fc76a05,21
